trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
390,69.0,2070.242059482942,51.0,2196.500654707117
391,85.0,2080.7497090992124,59.0,2079.5515713611103
392,90.0,2097.4933229724593,40.0,2072.1495285474953
393,72.0,1951.8132142941686,58.0,2090.7563631807056
394,65.0,1922.835332161732,59.0,2023.5358289096757
395,85.0,1951.5653196848555,67.0,2261.41313294183
396,69.0,1970.828205496678,50.0,2137.235142052801
397,84.0,1996.0604025624173,53.0,2094.077230114847
398,63.0,1975.8448366831442,57.0,2110.9572346080063
399,80.0,2077.500589809631,54.0,2203.286891794963
400,61.0,2156.0839901488453,53.0,2150.8034528857083
401,76.0,2134.8357131711464,55.0,2057.194776347332
402,78.0,2027.892216438036,48.0,1990.0793180446396
403,64.0,2078.333175863096,44.0,1970.7687797949889
404,60.0,1868.6503338596601,52.0,2013.0894540234563
405,85.0,2020.9751707654307,59.0,2202.6351497634846
406,55.0,1868.997831541548,52.0,2168.03697081231
407,75.0,2291.839673612924,62.0,2070.221408581424
408,75.0,2009.9917195342252,52.0,2040.0628746541474
409,64.0,2141.8296968601444,57.0,2128.855792387141
410,67.0,1890.9120958135197,55.0,2003.643925632958
411,83.0,2002.661093010179,64.0,2185.4852692825157
412,69.0,2081.4467762509857,60.0,2081.944278563155
413,74.0,2086.591708951878,64.0,2011.6830186453417
414,81.0,2035.7144420351347,69.0,2156.4659579775935
415,71.0,1942.7167480633973,69.0,2249.728757274077
416,68.0,2017.3403426766934,57.0,2092.5224755103864
417,77.0,2005.9568082866658,53.0,2058.1668102847325
418,82.0,1933.5438539260963,53.0,2150.263238690457
419,79.0,2044.266828421803,58.0,2138.359727517633
420,72.0,2032.6345835120544,63.0,2108.053461930037
421,78.0,1910.8078683661074,54.0,2086.4464640247866
422,82.0,2034.6350201581147,57.0,2033.4538468494068
423,77.0,2104.286389121526,45.0,2070.625028927253
424,78.0,2029.724278551179,66.0,2070.70627681715
425,84.0,1954.8510548728216,66.0,2226.6787104703903
426,66.0,2025.0068945030762,54.0,2052.967414440524
427,61.0,2028.9917224556436,56.0,1994.584216415949
428,65.0,1878.2873363124133,61.0,2104.4761268838793
429,73.0,2003.6907029561933,60.0,2131.8069995975097
430,79.0,2037.550699301311,48.0,2113.5783303467183
431,67.0,2026.5952104534858,56.0,2126.7075393410337
432,59.0,1979.5243793443008,56.0,2106.719375534353
433,74.0,1993.5941297274946,57.0,2144.061888839128
434,80.0,1970.6360136660062,53.0,2059.1190523320033
435,82.0,2175.877217332918,59.0,2092.747489415571
436,90.0,1977.3345154916926,55.0,2127.842341415111
437,73.0,2001.1021685792364,53.0,2146.3360243391344
438,80.0,1930.7099209789617,57.0,2140.90869497371
439,65.0,2012.5111052923123,54.0,2115.4551057443477
440,77.0,2001.4389383435584,62.0,2227.0074367423986
441,70.0,1900.012385471596,49.0,2061.094018818372
442,77.0,2143.4167758037597,57.0,2177.333580294304
443,72.0,2050.271067439465,53.0,2096.3289475934125
444,79.0,2148.9714856274973,50.0,1958.7660081989457
445,80.0,2043.138135504558,40.0,2007.3105366590935
446,75.0,2045.8975352626187,63.0,2150.7884942827095
447,66.0,1970.2933495636114,53.0,2046.008729213129
448,65.0,2061.9672337527722,61.0,2080.4207808752576
449,66.0,1891.971979270314,67.0,2074.2222029198856
450,82.0,2036.2972788292618,69.0,2194.514907568009
451,80.0,2099.837407455851,54.0,2056.272312991676
452,69.0,1884.3183522585941,57.0,2258.6788895156574
453,50.0,1959.9013526862946,53.0,2065.7524461574726
454,78.0,2120.168374873716,60.0,2111.22963250539
455,91.0,2250.9461399902502,69.0,2199.236222528476
456,60.0,1930.8390474051305,59.0,2317.325543484679
457,65.0,1992.5121144162326,61.0,2052.7985992699323
